Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Accommodation and food services,-0.7 pp,3.13,—,,1583
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Arts and recreation services,+27.0 pp,9.05,—,,1417
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Retail trade,-2.9 pp,1.00,—,,1584
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Population,-31.4 pp,1.14,—,,1616
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Total,-3.7 pp,6.17,—,,1615
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Retail trade,-11.0 pp,4.80,—,,1591
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Accommodation and food services,-10.4 pp,0.37,—,,1585
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Arts and recreation services,-8.2 pp,19.81,—,,1425
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Total,-6.9 pp,0.00,—,,1614
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Accommodation and food services,-5.3 pp,3.73,—,,1583
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Arts and recreation services,+17.0 pp,0.82,—,,1421
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Retail trade,+4.3 pp,4.39,—,,1588
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Population,-13.6 pp,0.05,—,,1616
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Total,-2.2 pp,1.01,—,,1613
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Retail trade,-10.5 pp,0.07,—,,1591
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Accommodation and food services,-9.5 pp,20.37,—,,1585
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Arts and recreation services,-8.0 pp,339.48,—,,1425
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Total,-7.1 pp,0.17,—,,1616
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Accommodation and food services,-6.7 pp,15.41,—,,1586
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Arts and recreation services,+2.7 pp,9.44,—,,1420
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Retail trade,-4.4 pp,0.24,—,,1588
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Population,-1.6 pp,0.01,—,,1612
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Income: Total,+2.0 pp,15.35,—,,1614
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Income: Retail trade,-10.7 pp,25.48,—,,1591
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Income: Accommodation and food services,-3.9 pp,3.67,—,,1587
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Income: Arts and recreation services,-0.1 pp,51.72,—,,1425
spillover,All Australia exc. NSW,Balmain,Spillover,Total,-14.3 pp,2.31,—,,1614
spillover,All Australia exc. NSW,Balmain,Spillover,Accommodation and food services,-16.6 pp,4.05,—,,1583
spillover,All Australia exc. NSW,Balmain,Spillover,Arts and recreation services,-6.1 pp,22.97,—,,1420
spillover,All Australia exc. NSW,Balmain,Spillover,Retail trade,-15.1 pp,3.70,—,,1586
spillover,All Australia exc. NSW,Balmain,Spillover,Population,-1.2 pp,0.01,—,,1612
spillover,All Australia exc. NSW,Balmain,Spillover,Income: Total,+2.0 pp,0.20,—,,1614
spillover,All Australia exc. NSW,Balmain,Spillover,Income: Retail trade,-9.3 pp,24.51,—,,1591
spillover,All Australia exc. NSW,Balmain,Spillover,Income: Accommodation and food services,+2.7 pp,2.84,—,,1587
spillover,All Australia exc. NSW,Balmain,Spillover,Income: Arts and recreation services,-12.3 pp,1.89,—,,1425
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Total,-5.1 pp,1.63,—,,1616
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Accommodation and food services,-7.6 pp,17.73,—,,1584
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Arts and recreation services,+1.6 pp,2.39,—,,1423
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Retail trade,-3.1 pp,4.71,—,,1588
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Population,-1.2 pp,0.02,—,,1612
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Income: Total,+3.4 pp,10.65,—,,1614
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Income: Retail trade,-19.8 pp,2.40,—,,1591
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Income: Accommodation and food services,-2.6 pp,158.69,—,,1587
spillover,All Australia exc. NSW,Lilyfield - Rozelle,Spillover,Income: Arts and recreation services,-22.3 pp,449.63,—,,1425
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Total,-7.0 pp,0.96,—,,1616
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Accommodation and food services,-5.2 pp,0.45,—,,1586
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Arts and recreation services,+6.1 pp,2.26,—,,1420
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Retail trade,-8.5 pp,3.79,—,,1588
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Population,-1.8 pp,0.00,—,,1612
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Income: Total,-1.3 pp,3.50,—,,1614
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Income: Retail trade,-10.6 pp,9.68,—,,1591
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Income: Accommodation and food services,-6.8 pp,0.97,—,,1587
spillover,All Australia exc. NSW,Paddington - Moore Park,Spillover,Income: Arts and recreation services,-2.0 pp,115.93,—,,1425
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Total,-3.4 pp,4.92,—,,1614
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Accommodation and food services,+18.3 pp,15.69,—,,1586
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Arts and recreation services,+1.7 pp,0.57,—,,1424
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Retail trade,-7.1 pp,0.19,—,,1588
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Population,-2.6 pp,0.02,—,,1616
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Income: Total,-10.2 pp,7.98,—,,1615
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Income: Retail trade,-23.1 pp,85.34,—,,1581
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Income: Accommodation and food services,-16.4 pp,70.51,—,,1587
spillover,All Australia exc. NSW,Bondi Junction - Waverly,Spillover,Income: Arts and recreation services,-19.3 pp,21.42,—,,1425
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Total,+8.3 pp,0.24,—,,964
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Population,-14.4 pp,0.00,—,,964
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Retail trade,+8.7 pp,9.44,—,,949
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Accommodation and food services,+7.7 pp,0.40,—,,950
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Arts and recreation services,+21.3 pp,0.68,—,,926
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Total,+5.1 pp,31.23,—,,961
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Retail trade,-4.4 pp,13.52,—,,948
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Accommodation and food services,+3.7 pp,0.00,—,,950
treated,Capital cities only (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Arts and recreation services,-14.3 pp,0.00,—,,927
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Total,-4.2 pp,0.97,—,,964
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Population,-18.3 pp,0.00,—,,964
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Retail trade,-5.8 pp,10.18,—,,950
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Accommodation and food services,-12.3 pp,3.30,—,,950
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Income: Total,+3.1 pp,7.31,—,,963
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Income: Retail trade,+7.9 pp,19.63,—,,949
treated,Capital cities only (exc. Greater Sydney),Darlinghurst,Full,Income: Accommodation and food services,-3.2 pp,7.52,—,,947
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Total,-6.4 pp,1.46,—,,964
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Population,-8.5 pp,0.07,—,,964
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Retail trade,-7.9 pp,5.03,—,,950
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Accommodation and food services,-13.5 pp,0.62,—,,950
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Arts and recreation services,-4.5 pp,24.16,—,,925
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Total,+14.1 pp,7.12,—,,962
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Retail trade,+6.8 pp,10.24,—,,950
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Accommodation and food services,-2.0 pp,6.35,—,,949
treated,Capital cities only (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Arts and recreation services,+3.2 pp,31.87,—,,927
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Total,+0.4 pp,0.06,—,,964
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Population,-4.4 pp,0.01,—,,962
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Retail trade,-2.5 pp,3.21,—,,950
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Accommodation and food services,-1.1 pp,0.70,—,,950
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Income: Total,-7.3 pp,19.10,—,,962
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Income: Retail trade,-11.6 pp,23.64,—,,949
treated,Capital cities only (exc. Greater Sydney),Surry Hills,Partial,Income: Accommodation and food services,-8.0 pp,6.09,—,,950
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Total,-9.7 pp,0.07,—,,963
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Population,-10.5 pp,0.01,—,,964
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Retail trade,+2.3 pp,6.99,—,,950
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Accommodation and food services,-17.7 pp,0.00,—,,950
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Arts and recreation services,+12.2 pp,1.07,—,,927
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Total,-13.1 pp,0.73,—,,959
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Retail trade,-14.6 pp,60.01,—,,950
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Accommodation and food services,-11.2 pp,0.00,—,,950
treated,Capital cities only (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Arts and recreation services,-31.3 pp,2.52,—,,927
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Total,-5.5 pp,0.43,—,,964
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Accommodation and food services,+3.9 pp,1.81,—,,950
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Arts and recreation services,+9.1 pp,10.19,—,,925
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Retail trade,+1.7 pp,1.09,—,,950
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Population,-4.9 pp,0.02,—,,964
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Total,-3.2 pp,35.10,—,,962
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Retail trade,-8.3 pp,2.51,—,,950
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Accommodation and food services,-14.0 pp,13.73,—,,947
spillover,Capital cities only (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Arts and recreation services,-5.4 pp,34.90,—,,927
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Total,-1.7 pp,0.09,—,,963
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Accommodation and food services,-7.4 pp,3.85,—,,949
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Arts and recreation services,+5.6 pp,3.40,—,,925
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Retail trade,-4.1 pp,1.65,—,,950
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Population,-2.1 pp,0.01,—,,964
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Total,+3.3 pp,0.55,—,,963
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Retail trade,-11.5 pp,0.14,—,,950
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Accommodation and food services,-10.4 pp,0.00,—,,947
spillover,Capital cities only (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Arts and recreation services,+3.0 pp,97.52,—,,927
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Total,-7.8 pp,0.01,—,,963
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Accommodation and food services,-0.3 pp,4.14,—,,950
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Arts and recreation services,+2.9 pp,24.69,—,,925
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Retail trade,+7.3 pp,0.62,—,,950
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Population,-26.2 pp,0.22,—,,964
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Total,-3.7 pp,13.56,—,,963
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Retail trade,-13.7 pp,26.82,—,,950
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Accommodation and food services,-6.0 pp,0.48,—,,947
spillover,Capital cities only (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Arts and recreation services,-7.2 pp,6.44,—,,927
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Total,-7.7 pp,5.04,—,,963
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Accommodation and food services,-1.7 pp,2.78,—,,950
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Arts and recreation services,+17.3 pp,18.56,—,,917
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Retail trade,-3.3 pp,0.48,—,,949
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Population,-26.7 pp,0.61,—,,964
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Total,-2.7 pp,5.28,—,,963
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Retail trade,-9.4 pp,2.87,—,,950
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Accommodation and food services,-10.0 pp,0.15,—,,948
spillover,Capital cities only (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Arts and recreation services,-6.0 pp,26.04,—,,927
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Total,-6.6 pp,0.20,—,,963
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Accommodation and food services,-5.5 pp,3.24,—,,950
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Arts and recreation services,+15.0 pp,1.37,—,,926
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Retail trade,+4.4 pp,3.36,—,,950
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Population,-11.9 pp,0.12,—,,964
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Total,+5.7 pp,0.45,—,,963
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Retail trade,-9.1 pp,0.01,—,,950
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Accommodation and food services,-9.1 pp,21.93,—,,947
spillover,Capital cities only (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Arts and recreation services,-6.4 pp,353.19,—,,927
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Total,-7.1 pp,0.00,—,,964
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Accommodation and food services,-6.4 pp,14.00,—,,950
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Arts and recreation services,-3.4 pp,5.04,—,,923
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Retail trade,-4.5 pp,0.57,—,,950
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Population,-6.3 pp,0.00,—,,964
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Total,+4.0 pp,15.08,—,,963
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Retail trade,-10.0 pp,25.15,—,,950
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Accommodation and food services,-3.3 pp,2.50,—,,950
spillover,Capital cities only (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Arts and recreation services,+12.6 pp,38.89,—,,925
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Total,-13.9 pp,1.04,—,,963
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Accommodation and food services,-16.8 pp,3.54,—,,950
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Arts and recreation services,-11.5 pp,16.37,—,,924
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Retail trade,-15.8 pp,2.72,—,,950
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Population,-7.0 pp,0.00,—,,963
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Income: Total,+6.0 pp,1.15,—,,963
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Income: Retail trade,-10.7 pp,15.04,—,,950
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Income: Accommodation and food services,+1.1 pp,2.42,—,,948
spillover,Capital cities only (exc. Greater Sydney),Balmain,Spillover,Income: Arts and recreation services,-13.2 pp,1.35,—,,927
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Total,-5.3 pp,0.87,—,,964
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Accommodation and food services,-8.2 pp,18.87,—,,950
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Arts and recreation services,+0.4 pp,1.09,—,,926
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Retail trade,-3.7 pp,3.63,—,,950
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Population,-6.9 pp,0.00,—,,964
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Total,+6.0 pp,11.84,—,,963
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Retail trade,-18.8 pp,2.63,—,,950
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Accommodation and food services,-3.5 pp,99.00,—,,949
spillover,Capital cities only (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Arts and recreation services,-12.7 pp,421.23,—,,927
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Total,-6.9 pp,0.35,—,,964
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Accommodation and food services,-5.6 pp,0.68,—,,950
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Arts and recreation services,-1.8 pp,6.58,—,,921
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Retail trade,-8.7 pp,2.83,—,,950
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Population,-7.2 pp,0.02,—,,964
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Total,+2.8 pp,6.43,—,,963
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Retail trade,-10.4 pp,7.57,—,,950
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Accommodation and food services,-6.3 pp,0.56,—,,950
spillover,Capital cities only (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Arts and recreation services,-3.4 pp,127.38,—,,927
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Total,-3.0 pp,2.95,—,,963
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Accommodation and food services,+15.6 pp,22.34,—,,948
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Arts and recreation services,+0.5 pp,1.54,—,,926
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Retail trade,-7.6 pp,0.03,—,,950
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Population,-5.8 pp,0.01,—,,964
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Total,-8.8 pp,8.66,—,,962
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Retail trade,-29.3 pp,158.13,—,,945
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Accommodation and food services,-16.1 pp,58.46,—,,950
spillover,Capital cities only (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Arts and recreation services,-20.0 pp,22.50,—,,927
