location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id,displacement_pct
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,100
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,100
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,100
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,100
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,0
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-139.99391314437526,-0.7015335274536786,19815.419144946263,5950.084930835179,0,0,5950.084930835179,P3,0
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,0
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-139.99391314437526,-0.7015335274536786,19815.419144946263,5950.084930835179,0,0,5950.084930835179,P3,0
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,0
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-139.99391314437526,-0.7015335274536786,19815.419144946263,5950.084930835179,0,0,5950.084930835179,P3,0
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,50
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,50
Rest_of_Sydney,3046900,5866.601119084676,0.19254327739947738,3052766.6011190847,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-101.84065569225277,-0.5103410057000194,19853.572402398386,5950.084930835179,0,0,5950.084930835179,P3,50
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,50
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,50
Rest_of_Sydney,3046900,5866.601119084676,0.19254327739947738,3052766.6011190847,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-101.84065569225277,-0.5103410057000194,19853.572402398386,5950.084930835179,0,0,5950.084930835179,P3,50
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,50
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,50
Rest_of_Sydney,3046900,5866.601119084676,0.19254327739947738,3052766.6011190847,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-101.84065569225277,-0.5103410057000194,19853.572402398386,5950.084930835179,0,0,5950.084930835179,P3,50
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,100
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,100
Rest_of_Sydney,3046900,11733.202238169351,0.38508655479895476,3058633.2022381695,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-63.68739824013028,-0.31914848394636025,19891.72565985051,5950.084930835179,0,0,5950.084930835179,P3,100
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,100
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,100
Rest_of_Sydney,3046900,11733.202238169351,0.38508655479895476,3058633.2022381695,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-63.68739824013028,-0.31914848394636025,19891.72565985051,5950.084930835179,0,0,5950.084930835179,P3,100
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,18672.840070492926,2148.612744001988,11.506619967239237,20821.452814494914,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3,100
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,26296.783130329834,1739.785704851769,6.6159639992055075,28036.568835181602,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3,100
Rest_of_Sydney,3046900,11733.202238169351,0.38508655479895476,3058633.2022381695,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,19955.41305809064,-63.68739824013028,-0.31914848394636025,19891.72565985051,5950.084930835179,0,0,5950.084930835179,P3,100
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,0
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,0
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,0
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,0
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,0
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,0
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,0
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,0
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,0
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,50
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,50
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,50
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,50
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,50
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,50
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,50
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,50
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,50
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,100
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,100
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,100
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,100
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,100
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,100
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,18672.840070492926,0,0,18672.840070492926,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4,100
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,26296.783130329834,0,0,26296.783130329834,8556.93725683251,0,0,8556.93725683251,P4,100
Rest_of_Sydney,3046900,-0,-0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,19955.41305809064,0,0,19955.41305809064,5950.084930835179,0,0,5950.084930835179,P4,100
